Location,Tweet
UK,#Tajikistan is a country at a crossroads; discover its diverse and unique highlights here https://t.co/iY1jj2QlBx https://t.co/FaVf1kTcFc,0.375
Bangor,@barrabest It's a pain in the butt for sure,0.5
Nashville TN. On Tyler Hubbard's dirtbike#coppertonehubbard,RT @SandraK93322487: I just supported   HELP FIND MISSING OLIVE    on @ThunderclapIt // @LostDogAlertUK https://t.co/bmYFX9iYLl,-0.2
None,"RT @shanedphillips: I think this is the one that'll finally solve congestion. It's just a feeling, but I really think this'll do it. https: ",0.1
      ,I was an idiot addicted to sweetness #TeamBTS #TwitterBestFandom #SoompiAwards   @BTS_twt,-0.6000000000000001
"Selangor, Malaysia",RT @Friendstagram: I want someone who feels lucky to have me.,0.3333333333333333
"Malojloj, Gu  ",RT @deryanbrub: my man's in the mood and i'm not? no sex. other way around? still no sex. you don't own their dick/penis just cuz y'all are ,0.2375
Dans l'exc s ,RT @PerfecttBabies: I can t wait to create something as beautiful as this with someone https://t.co/xYFF9aXyVz,0.85
None,I liked a @YouTube video https://t.co/kxweP4pwCi Easy Pen Beats To Practice || Jess Harris,0.5166666666666666
West Coast of Scotland,"RT @nancyandnell1: New #babyshower wax melt favour tins - a perfect addition to your special day.
#UKGiftHour #craftbuzz
https://t.co/TNgM5 ",0.4978354978354978
"Madison, WI",RT @femsinpolitics: We're not the only ones who want progressives to change the world. Check out Amanda Litman s book: Run For Something: A ,0.0
None,I bet y all don t even pray before y all sleep anymore .,0.0
None,@narellenies1 I really think you should rap that tomorrow! I'll get Kim to upload to messenger so I don't miss it!!   @kimcollas,0.390625
"Lyon, France","RT @elonmusk: When the zombie apocalypse happens, you ll be glad you bought a flamethrower. Works against hordes of the undead or your mone ",0.5
"Atlanta, GA",RT @MayaAMonroe: Pay attention. https://t.co/OwcNoohKAM,0.0
None,RT @kcarruthers: What hope for wage growth when the right to strike is curtailed? | indeed I suspect you re right @GrogsGamut https://t.co/ ,0.2857142857142857
None,"RT @jhraeun: Thai fans prepared a project for Sejeong, but since they changed the direction of the gate (from 9 to 5 i think) some if not a ",0.0
"Lagos,nigeria","@Kunmi_O Lmao, they said I subscribe for football update that they have never sent any sms about that to me and the removed money",0.6
"Glasgow, Scotland","A Stylish Vintage Glam Styled shoot with 1920s flair at @penventon Park Hotel
Images @tobylowe Co-ordination  https://t.co/TUFl4kvTZQ",0.5
melbourne,@rosewal Kerry Armstrong first words to Bern can I borrow some money    ,0.25
"Indiana, USA",https://t.co/7TYlFRTEXd I m still live for some dumbass reason,0.13636363636363635
"Sarasota, FL",Why Do I Need Transaction Pro Exporter for QuickBooks https://t.co/ouMzX0z7ch,0.0
"Marilao, Central Luzon",RT @_bbyglrdls: On my first year stanning Bangtan (jeje/imma that time) i always involved in fanwars like is thiz me?! #TwitterBestFandom # ,0.3125
North East England,So many similarities with @afuahirsch &amp; would add the experience of being 'not black enough' for some &amp; feeling on  https://t.co/PhZlB6QWhh,0.19444444444444445
None,"Love L-1485
#TeamEXO 
#TwitterBestFandom 
#SoompiAwards 
@weareoneEXO https://t.co/3eZIPiBgHh",0.5
"Haryana, India","RT @Realbirth_2012: #IPLAuction 
Advertisements in newspapers and movies are promoting violence and obscenity.
There is a negative impact o ",-0.3
PH,"RT @yjisunglove: A fan said ""Jisung is handsome"" and Jisung's reaction =)))
 https://t.co/MXSoAKZ02P",0.5
None,"RT @beccaaa98: Two boys went round trying to match a girl with a hoop earring they found on the floor, modern day equivalent of Cinderella ",0.0
None,"RT @LadyChelseaP: I don't care if you're only asking about prices, if you REALLY wanted a session with Me you'd prove it with an initial tr ",0.06666666666666667
None,"RT @EXOGlobal: [FANCAM] 180128 D.O.  For Life  @ ElyXiOn in Saitama Day 2
Cr. love_for_D

#TwitterBestFandom  #TeamEXO #SoompiAwards  @wear ",-0.75
"East Kilbride, Scotland","RT @Jackpotjoy: Follow &amp; Retweet to win a Nespresso Machine. We've got a caf-feeling you coffee lovers will love this!

T&amp;C: https://t.co/x ",0.7125
"Madras/Bombay, India",RT @BCCI: MUST WATCH: There were smiles all around on the way to the dressing room after clinching the final Test by 63 runs. It was one ha ,0.0
None,RT @jermmmX: Bruhh when I first saw this I panicked like shit... https://t.co/yfGo28qb2s,0.024999999999999994
None,@MsValRock Have  a good Sunday   Valencia        ,0.7
"Liverpool, England",RT @AMAZlNGNATURE: A red panda eating grapes   https://t.co/coWsGyg8XD,0.0
"London, England","RT @BAMS1489: I first got in $Eca around Dec13 th. The volume a day was $41. People say high risk, I say check list.
We only had one admin ",0.1366666666666667
"Chicago, IL",Paid Traffic vs Conversion Optimization: Which One Should You Focus On Right Now? Here's a formula to find out  https://t.co/EDdgkYtwIq,0.2857142857142857
California,RT @Lexstaylittt: once you have that  it is what it is  mindset you become nonchalant about a lot of shit.,-0.2
EXO Planet,"@EXOfanbase_Int @weareoneEXO Yehet

I'm voting #TeamEXO for #TwitterBestFandom in #SoompiAwards
L-1485",0.0
None,RT @morleyfme: Most small toys I suspect... https://t.co/EebkKSPT54,0.125
None,@LanceSkiiwalker thanks for retweeting &amp; I can t wait to see you perform may 11th! #November     ,0.25
None,oof here he comes with thor's in a cage how did this happen monologue LMAO,0.6
"Mountlake Terrace, WA","I wanna get a tattoo on my dick that u can read when it s erect, but I don t know of any good two letter words to put there",0.7
None,"RT @emartineeez: I TOOK MY BROTHER INTO A LIE DETECTOR TEST 
Today s video: YOU WILL FREAK OUT",0.0
INTL CORP.,"Hey when someone ask for a topic, I normally reply with  how much does a polar bear weight?  Does someone knows ... https://t.co/0F6CZ3kSoT",0.08888888888888889
"Lagos, Nigeria","RT @mxmsworld: Behind a nagging woman, is a woman who told you not once, twice, three or even four times. She repeated herself - you ignore ",-0.4
None,"I'm taking calls on #NiteFlirt 1-800-To-Flirt, ext: 10700343. Give me a call before I become busy! niteflirt_extension 10560874",0.125
 Your Library, I am not young enough to know everything  - Oscar Wilde.,-0.025
Vasai Ahmedabad India,"RT @anshulnamdev6: #AllStars3
#ForeverRoyal
#       _  _       
The Constitution has given the right to freedom but this right is being hea ",0.2857142857142857
Michigan ,I feel sick asf  ,-0.7142857142857143
"Tagaytay, Calabarzon",Should I be APPROVED? https://t.co/3eUjq2IGEY,0.0
None,"RT @Exolusa: {VIDEO} 180128 - EXO at E yXiOn in Saitama D2 - CHANYEOL &amp; XIUMIN Focus 
Cr. _love_for_D

#TeamEXO #TwitterBestFandom #SoompiA ",-0.75
None,"RT @JADORETHANN: To take my mind off things I tried something different, hope u like it :) https://t.co/G4HutdDKRR",0.25
None,"RT @KatTheHammer1: ""I work for one man. His name is Donald Trump. He has told me one thing: 'secure the border'. ""

~John Kelly WH C.O S. h ",0.4
Namibia,RT @Women_Of_Christ: A quick-tempered man does foolish things -Prov 14:17,0.0
United States,Organize a successful marketing program from scratch in a few steps? As easy as pie! More information:  https://t.co/7DxjYQXDdI,0.3979166666666667
PH   ,"I'm not.
@BTS_twt #TwitterBestFandom #TeamBTS https://t.co/g7TLqOWiUK",0.0
None,"@Chiaki747 I was definitely thinking of that review, there. I haven't seen it myself yet. &gt;_&gt;",0.0
None,"RT @sehunownsme: EXO members said the secret to their (unwavering) popularity is that they have a family-like relationship w/ each other, a ",-0.2625
None,Olympic Committee of Slovenia Association of Sports Federations: Slovenia Olympic Committee:  Take a ... https://t.co/7rnXy8840v via @Change,0.0
None,"RT @INNCOorg: FDA
 We d like you to gloss over some evidence please 
NAD
 No problem. ~ is transparent OK? 
FDA
 We d prefer fifty shades o ",0.5
 ,"RT @nakedmagic: Do you cry when you realize that not even 4 years ago, Harry was in the crowd at a Fleetwood Mac concert dancing and singin ",0.0
"Lagos, Nigeria",I eat dodo... Dodo cures all anger https://t.co/L53kpf2wj4,-0.7
"England, United Kingdom","RT @MimiRDrew: #ShakespeareSunday 

Yet looks he like a king: behold, his eye,
As bright as is the eagle's, lightens forth
Controlling maje ",0.7000000000000001
Worldwide,"RT @Smooth_Orator: i'm going to have a good year. 

i'm not going to apologize for it. 

i'm not going to spoil it by waiting on ""the other ",0.2875
Essex,RT @radioessexnews: #NEWS: Teenage girl sexually assaulted on a train between #Tilbury and #Southend More with Carlo on the hour,0.3333333333333333
None,RT @YomsTV: When she has a history   https://t.co/M6KaTv4mtd,0.0
Global,Brothers In Rhythm - Such A Good Feeling #NowPlaying on @energy_fm. Listen now at https://t.co/Px4ee4Sfml,0.35
HoustAtlantaVegas,Don t think u goin flex on me cuzz I m turn around and hurt yo feelings cuz I flex way harder,-0.1
None,Wtf is up w dudes thinking I like them seriously done,-0.41666666666666663
"Hubli, Karnataka, India",RT @Ra_Bies: Chandan Gupta was murdered by the members of minority community not for any pro Hindu slogans but for celebrating Republic Day ,0.0
 ,RT @lindsaypoculan: i would get a girlfriend out of spite of my mother telling me that i'm not allowed to date women,0.0
None,@_palicki_ I know you still have my hoodie you TURD.,0.0
None,I m low on gas and you need a jacket,0.0
Australia,"#JohnsAnalytics #Results
   
  Day: -5.2u
   
  Overall: +174.8u
   
  @Johns_Analytics  https://t.co/188ctVZBGy",0.0
None,So I'm in a study room and there ar only 4 of us in here. And this guy accidentally unplugged his earphones from hi  https://t.co/lm3rf0514r,0.0
Australia,"RT @yoonminet: this boy went trough so much to become what he is now, he struggled a lot yet never gave up on his dreams and i m so thankfu ",0.2
None,"RT @byunificial: Q. who do you think grew up the most?
EXO: sehun
SH: it's all thanks tohyungs~
JM: he was in hs when he debuted
BH: he use ",0.35
kathniel;bts,"RT @snowberrytae: ""Members are family bc they're always by my side, they always help me, cheer me on &amp; look towards me. They know every det ",0.0
None,"RT @ipriyankaJ16: Happy sunday .... start the day with a smile  !.Gooooooood moornnninggggg      
@Mj16111980 
@ms395481 
@deewani43 
@Kajo ",0.5875
Earth,I want a cowboy hat.,0.0
None,RT @awake: not like u would understand.,0.0
" stanbul, T rkiye",#TopTVCouple I nominate Hilal and Leon from #WoundedLove @eonlineTV https://t.co/tlfLfbFanA,0.0
None,RT @ikonstype_: i m here already!   https://t.co/FxnJbuZVcP,0.0
mikaela andrea,@ElianneShane i cant understand u :((,-0.75
None,@MaximilianAryan @donny_dre17 @PerfectPetrasso @SirLeFIFAMobile @EAFIFAMOBILE Who wouldn't be mad if they didn't ge  https://t.co/WcxIspNk24,-0.625
Space ,RT @Biofrostlol: Rough start. It s never easy. I will work harder to make sure we improve.,0.020833333333333343
"Santa Barbara, CA ","""Withdrawal can be a terrible thing when it keeps us awake at night, and watching others forget us sooner than we'd  https://t.co/QZINboPocY",-1.0
Toronto/Bengaluru,RT @yehlog: Let this sink in. The #Kasganj riot started when VHP-BJP abused Muslims for hoisting the Indian flag and not the saffron flag. ,0.0
Durgapur W.B. INDIA.,RT @PMOIndia: I want to talk about something very unique in Bihar. A human chain was formed to spread awareness about evils of Dowry and ch ,0.24375000000000002
None,@frxsermsp I WANT  ,0.0
None,RT @kukuDada125: I'm doing a Mixlr. https://t.co/1Ffee9DaSz.,0.0
In 800+ cities across the U.S.,@_TreBoogiee I'm sorry this happened. A cracked screen is no good. Good thing we're able to fix it!  https://t.co/3HJF0UABcK,0.11875
None,"Never trust a husband too far, nor a bachelor too near.",0.1
"Edinburgh, Scotland",Guys. My alarm never went off to wake me up for New Beginning day 2. I ve started watching in the middle of Jay and  https://t.co/w1RUEAoXme,0.06818181818181818
None,"RT @_xTGx: I literally cannot stop laughing at this photo. #Hyungwon mounting the couch, #kihyun's expression, me being squished into obliv ",0.0
None,RT @TruthinGov2016: In other words...Democrats ordered Twitter to suppress Conservatives' tweets during the election. What's conspiring to ,-0.125
B.A.W,@fcrgetfxl @lcvxlybcy @BeautyIsBlood ITS FUCKING ROLE PLAY I DONT HAVE MENTAL ISSUES AND IM NOT A SICK HUMAN BEING  https://t.co/dgWKb64Rxl,-0.0857142857142857
United States,By one gate it when a really good anime only has 12 episodes?,0.35
hawkins,RT @winteradcliffe:     here's a stonefield thread    ,0.0
the 1975,and i watch you fall asleep at night,0.0
most likely sleeping ,"I think only I would run down stairs on a early Sunday morning screaming ""LOOK AT MY PLANT!!!!!!""",0.07530472366898147
moon,@gwymtbg @suicidalex_ @NotLyra ano 'yooon :o,0.05
Burcht ,Fact https://t.co/pztTr5ht17,0.0
"California, USA",RT @_natalieray: day 7 of drinking 96oz of water a day. A lot has changed. I pee 14 times a day. My skin feels great.I feel energized.I can ,0.0
"Madrid, Comunidad de Madrid",RT @praises: wow.. A 14 year old wrote this (trust me read this) https://t.co/SGEQ4SVQBr,0.1
None,RT @lndepth: Apple Music should be free i own a fucking iPhone,0.13333333333333333
"Los Angeles, CA",RT @shmu_h: @Razer @LeviMira This is my E T E R N A L  M O O D,0.0
hogwarts,"RT @planetbangtan_: Lmao whaaaaaaat? he clearly is enjoying the song while murmuring words NOT MOCKING THE SONG, THEY LOVE DESPACITO AND KE ",0.5333333333333333
None,"RT @byunificial: Q. who do you think grew up the most?
EXO: sehun
SH: it's all thanks tohyungs~
JM: he was in hs when he debuted
BH: he use ",0.35
Littleborough UK,RT @TimetoChange: Talking about mental health helps stop the shame and isolation felt by those of us with mental health problems. In the sa ,-0.1
None,"RT @GregRusedski1: One guy warms up indoors, other warms up outdoors before the finals. Roof is closed.   This is so wrong for a GS final w ",-0.18125
Blue hearts,"Anyhow, we're off to MNL in a few minutes. Back to reality!  ",-0.1
None,I found MNWNW new on vinyl yesterday for  19 and I regret not buying it,0.13636363636363635
Deutschland,RT @sophtalkssci: Calling all #WomenInSTEM that might be willing to help me out with a photo project for International Women and Girls in S ,0.125
None,RT @itsrjhill: Easily the most fire wedding photos of all time... https://t.co/HOWWMvQTIn,0.4666666666666667
"Denton, TX","RT @gossipgriII: my boss: do u want more hours? 
me with $2 in my bank account: https://t.co/ge2Zt8oybK",0.5
"Lekki, Nigeria","RT @chrismoore32: Number of days since last trophy (as of Jan. 27th, 2018):

Arsenal - 245
Man U - 248
Chelsea - 251
Man City - 699
Liverpo ",0.0
Gothenburg Sweden,RT @SarahLerner: I love women. https://t.co/GDJVC9XOqO,0.5
"Winston-Salem, NC",RT @BasedChasen: Girls really have the nerve to move on and leave you after you make a few mistakes smh,0.0
None,RT @GraysonDolan: You guys know me well and I ve seen that some of you have sensed that something was up so I just wanted to fill you guys ,0.0
None,i'll probably never go back to my real name,0.1
maxin&relaxin,yo my anxiety is so bad sometimes I worry about shit I don t even know what I m worrying about,-0.44999999999999996
"Lekki, Lagos, Nigeria","HAPPENING NOW: The Word
Ministering: @sa_graced361 
Message Title: Arise and Take your Place (pt 3)

NOTE: ""You are  https://t.co/XwlBW0lFZE",0.0
"Los Angeles, California, USA","""You a communist? Huh? How d you like it, man? They tell you all the time what to do, what to think, what to feel.  https://t.co/j1A54lpMd0",0.0
None,"RT @LanaRhoades: I know they're tired of me
Honestly, don't give a fuck
'Bout who ain't fond of me
Dropped two mixtapes in six months
What ",-0.0666666666666667
On an adventure!,RT @RCEM_VP: The #BawaGarba case has resulted in an unsupported doctor working in appalling conditions being removed from the medical regis ,-0.175
None,I got love with GOT7 #TeamGOT7 #TwitterBestFandom,0.5
None,Win a book of your choice #happynewyear @readingdreaming https://t.co/4rPdFbslOX,0.8
2nd demension,"Now Playing: Aimer / ""Mine"" [Album: StarRingChild (2014)] [Series: N/A] (Req. by Lexa)",0.0
None,"RT @MHChehade: A club the size of Liverpool bringing on Milner, Ings and Henderson to save a game. That's enough football for today.",-0.2
#   #EXO planet,"I better take a bath

L-1485 #TwitterBestFandom #TeamEXO #SoompiAwards @weareoneEXO",0.5
kwon jiyong's pocket,"RT @always_gd: Always I`ll be there   

#AlwaysGD https://t.co/eXNPs8TWuS",0.0
the land down under,"RT @sungskyungs: rt to be in a bts gc
-i need new mutuals
-a little selective",-0.025568181818181823
"New York, USA",I liked a @YouTube video https://t.co/dPsuHgnsi0 Trolling People On Call Of Duty Black Ops 3!! Road To 2K Subs!!! Lets Go!!!,-0.1967053731282551
"South Wales, UK",RT @TheUniverseMan: Me after my Sunday roast https://t.co/iMimJmUZJs,0.0
wikipedia,"Chinese Federation of Labour, a national trade union center in Taiwan",-0.05
United Kingdom,uploading in a little bit https://t.co/xd1wWyQlaV,-0.1875
None,@roveca_2012 @pusakomabango @TBird0292 @CambalMilagros @MyOneAndOnlyRFJ @Fanghoul2 Maine is decent... Good breeding  https://t.co/ptEMuhjASQ,0.4333333333333333
"Belfast, Northern Ireland. UK","RT @aref4950: My heart says of you, ""Seek his face!"" Your face, LORD, I will seek.

Psalm 27:8",0.0
None,call me weird but i've always found hands so attractive.,0.15000000000000002
None,@sire_noel @SirWoley A lot of women have said they haven't had bad experiences. Some men have had some bad experien  https://t.co/NjTMjabTCK,-0.6999999999999998
Manchester,"If you need a good excuse to visit @nightanddaycafe in #Manchester, here it is... (via @maryannehobbs @bbc6music)  https://t.co/fPdCoFrKmu",0.32499999999999996
None,RT @ReformDNC: #RT @funder: RT @funder:  Multiple paper trails prove Mike Pence &amp; Donald Trump both knew Michael Flynn was a paid Russian a ,0.0
"Bromley, South East London",RT @ScottDurairaj: It is no longer enough to simply provide low-cost transactional services. To ensure a successful healthcare system for f ,0.25
"WA, BC, AB, SK, and MB","3-- ""THE CREWS despising the Aid of the art, they are not even furnished with a Tackle, which would if judiciously  https://t.co/pWzcL0xNWA",0.0
"Chino Hills, CA",RT @Juice2Wavy: When a vegan says  you lookin like a snack    https://t.co/rDo4ooGXSG,0.0
None,i don't think i've ever been as soft as i am now https://t.co/GFCJrDo1nh,0.1
None,RT @mlaloisio: I went to True/False last year and got to watch a panel of directors that included the director of STRONG ISLAND. My entire ,0.14444444444444443
None,"RT @ReaIPostMaIone: shoot ur shot 2018, that means friendships too. u wanna start hanging out more? then let s fucking do it. message me. m ",-0.04999999999999999
Leicester,RT @7NewsBrisbane: A 22-year-old from Everton Hills is still buzzing after he was chosen from the crowd at Suncorp Stadium last night to pl ,0.0
Somewhere in space...,RT @biancaxunise: me when I walk into the goth club https://t.co/olaCi34rgI,0.0
None,i have overwatch full + first mail + purchase... https://t.co/jJdW90zkTQ,0.3
ph,im traumatized https://t.co/jC5cDvDHS8,0.0
"Here, there & everywhere...","RT @JohanBowman: @RedHotSquirrel @ClaudBarras Countries should look after their own interests primarily, then form that stable position be ",0.5
None,"RT @FlowerPrince_CY: Next time u call any EXO member average,remember how they were choosen from 120 trainees n survived through hardcore p ",0.0
India ,RT @realpreityzinta: Yesssssss ! @YUVSTRONG12 is back home at @lionsdenkxip and I cannot be happier   #LivePunjabiPlayPunjabi #VivoIPLAucti ,0.0
None,RT @ReggieVaitz: Y is allowing Uber &amp; Lyft drivers to pick up street hails even under consideration or reducing penalties for doing it. The ,0.0
sc.dexterforbesjr,"RT @Tim_Cromer: i don t have a lot of friends, i know a lot of people. 

Big difference  ",0.0
   s24 +  2  ,RT @yooseonhopics: 180128 eating like a king! https://t.co/VR4fP4zOxw,0.0
None,i'am from #TeamBTS let's win this together ARMY ( #TwitterBestFandom  ) for @BTS_twt,0.8
Mon Studio,"RT @royaljoons: when u finally get to release your inner hoe 
 https://t.co/N3ZCFuwRqi",0.0
"Alhaur n el Grande, Espa a","RT @petemorristwit: So now there's a terribly PC, feminist clamour to ban 'walk-on' girls in all walks of life. We no longer need to celebr ",-1.0
"San Francisco, CA",@angie_zatarain Awww u one of those  ,0.4
Pitori/eBhayi/eKapa. ,RT @bleuvaIentine: me after hanging out with my friends then my depression starts to hit me when i get home. https://t.co/VAkmNu9Mop,0.0
United Kingdom,Looking for ideas for Valentine's Day? Socks are a surprisingly romantic gift - thoughtful and with a touch  https://t.co/3PDsaQ7ErV,0.2
PH HK KR XM | 140202,"I might have not commented much about it, but I just wanna give Yonghwa a hug, and tell him that it wasn't his faul  https://t.co/rmCISyacnd",0.2
naliligaw ,Oh my heart https://t.co/pc0UNKoo6A,0.0
mum where are you?,RT @jctmw_: RETWEET to win a PINK water Bottle Hoodie!! Giving away 5! https://t.co/vz7SAhsUoj,0.30234375
"Iloilo City, Western Visayas",RT @Mix9_official:  Thank you for allowing me to [debut] with such cool friends. I will greet you again with better performances in the fut ,0.2833333333333333
Worldwide,"#Sports News:  VAR comes of age at Anfield amid much criticism 

LONDON (Reuters) - English football's embrace o... https://t.co/QZfnDnajR7",0.1
"London, England","Lovely to find this, Mary was a local girl and is on #WW1 memorial @HolyTrinitySW17 #Tooting Her family lived Elmbo  https://t.co/J8XBSfSKTq",0.25
Philippines,The Bible is a book of the love of God to His creations. #BREADJoinsBibleMonth,0.5
"London, UK","RT @goal: The Making of Superman - a tribute to Gianluigi Buffon on his 40th birthday

https://t.co/n7TJPqPPHW https://t.co/5zZ2DQ6WW2",0.0
"Honolulu, HI",And my bsf didn't tell me that they were talking until she show it to me and he was listening to us the whole time and I was OMGGG!    ,0.25
None,RT @dodo: This giant manta ray approached a diver to ask for help   and he immediately noticed what was wrong. https://t.co/zHue9dfRRh,-0.25
"Ewa Beach, HI",i just tried to sing without music playing in the back ground and now my ears are bleeding :),0.25
India,RT @narendramodi: Darshan from Karnataka shared how the Jan Aushadhi initiative provided him quality and affordable healthcare. He also wan ,-0.2
None,RT @JamieGlazov: Dershowitz: I Wouldn't Have Campaigned for Obama If I Knew About Farrakhan Photo - Breitbart https://t.co/zABCnKwx3v via @ ,0.0
None,"RT @MuslimIQ: White supremacists yell  Get out of the country!  to a Navajo lawmaker in Arizona

The 45 supporters accused him of being her ",0.0
"San Bernardino, CA",RT @Ciennanicolee: I'm trynna have a boo but then I'm still in that hoe life mindset.,0.0
INTL CORP.,"Hey I need more actor/actress rpers on my tl..
Let's be friends",0.5
NeverFarAway,"RT @AustralianOpen: .@rogerfederer wins set one! 6-2.

Federer is 15-3 after winning the first set in a Grand Slam.

#AusOpen https://t.co/ ",0.40625
None,"RT @jhopesgalaxy: dear bighit, 
can you please stop wrecking me at 12:15am with these bangtan bombs of bts performances. i cannot handle th ",0.0
"Rawalpindi, Pakistan","@FazeelaSaba1 But what a champion Amir is. 
Always delivers when it matters the most!!",0.78125
Nashville TN. On Tyler Hubbard's dirtbike#coppertonehubbard,RT @HunnyJax: I just supported   HELP FIND MISSING OLIVE    on @ThunderclapIt // @LostDogAlertUK https://t.co/iUFLmPNU3b     HELP FIND MISS ,-0.2
"Winnipeg, Manitoba",RT @RAndrewAuthor: I m short and I won t admit it https://t.co/GDcozS6VMa,0.0
Ireland,"I was privileged to attend a workshop in UCC Cork, Ireland, where Professor of Trials &amp; the Director of the UKCRC R  https://t.co/push0kG1py",0.0
"  London, England ",Take Advantage of Changing Market Conditions as they Occur &amp; Don't Be a Victim with this Top #Trading Software &gt;&gt;  https://t.co/1h7WX7upZ3,0.2125
"Torino, Piemonte",Offerte 4 Port with Power  -Speed USB 2.0 HUB a soli 2.02 ! https://t.co/48OaUvd5xg,0.0
None,RT @whoresola: this girl on my snap posted up a selfie in all black everything so i replied like  YAAAAAAS BITCH GO TF OFF  and her next sn ,-0.08333333333333333
Thailand.,"RT @Neo_kong1: DAY 6_ The most impressive sentence about GB

When asked about whether he actually fell in love with mc's question during th ",0.5
Islampur ,RT @StarGoldIndia: This elegant beauty knows how to mesmerize everyone on the big screen! Wishing the beautiful @shrutihaasan a very Happy ,0.5875
On a mission. ,"RT @charlesmilander: How to Win in a Ruthless Industry? Try Being Nice.
https://t.co/BL15QQhqbi Want to Make money online?. https://t.co/gU ",0.13333333333333333
Kompost,"RT @AwardsDarwin: Trying to beat up a car, what could go wrong? https://t.co/tURyDc6QKx",-0.5
None,I liked a @YouTube video https://t.co/zvNzFmtUYL I Read A Letter From My Younger Self,0.3
None,"RT @NicDakinMP: I was delighted to join Independent Age, their volunteers and the older people they support to talk about the... https://t. ",0.28888888888888886
None,@celebhardon Gabrielle Miller I think her name is. She is as hot AF.,0.25
None,RT @emartineeez: I m that kinda person who can fall sleep in the shower,0.0
"Made In Dade(Jacksonville,FL)",Enter to #win a $20 #Amazon Gift Card from @blanchardbooks https://t.co/6aoigcnfHr,0.8
Namek,"RT @elonmusk: When the zombie apocalypse happens, you ll be glad you bought a flamethrower. Works against hordes of the undead or your mone ",0.5
None,RT @GoDiegitoGo: If we dating you won t have to worry about going out. Just tell me where you going just Incase something happens but go ha ,0.0
"Huddersfield, England",If you are a community group (or just want to do worthwhile things in #Kirklees) then don't miss our #FREE resource  https://t.co/EaJtM91cI0,0.45
None,RT @emimkd2: Why.                                                        We love Shilman /                     epic     salman to mehjabin: ,0.3
Kuala Lumpur ,"RT @_sabjamal: I have a new habit, malas nak reply ws sesiapa    sorry.",-0.18181818181818182
None,RT @belugasolar: EV Sales In Denmark In 2017 Were A Joke   698 Total | CleanTechnica #BelugaSolar https://t.co/rdQ1FxPTVp,0.0
"California, USA",Big thanks to my girl @brittabfit without your discovery I would have never been able to do this so fast...    Summ  https://t.co/kri2xRmuR5,0.22499999999999998
 ," athena, i cant breathe. 
 i love you too  

GaaaaAaAaaHhh   ",0.5
None,RT @wapsa_: Congratulations Gabby Wilson from @BAPS_Rx for winning the PSOTY wildcard!! What a babe! #napsacongress,0.9765625
None,RT @WebDevLaw: This is a thread for those of you who say coders and developers should take no role in politics. Those of you who watched my ,0.0
"Leeds, Inglaterra",@JessicaLundx I have about 5 months!       I will whip them into shape soon enough     ,0.0
Notts Derby & Mansfield,@GreatFunerals @GoodGriefProj @hospiceuk @NationalSAIF @poetic_endings @CrescentFuneral @bennettsfuneral  https://t.co/XUIggQRx2G,0.0
Bengaluru,RT @keeperoftheday: I thought pineapples grew on trees. https://t.co/SC4gpqYcsW,0.0
None,RT @jintellectually: #ThankYouSeokjin for being such a bright influence on bts and armys all over the world. you work so hard for us and yo ,0.13611111111111113
"London, England",Boylesports: THE #DARTS MASTERS Double winnings as a free bet if the checkout is 100+ All markets 18+ T&amp;C's apply B  https://t.co/snzDsN6oPf,0.2
cheeto puff's  (@duckymino),"RT @_NotYovrBAE: If she flinched when you put ur arm around her. Someone else's hand once wasn't so sweet. If she questions you, someone's ",0.35
None,RT @bxllaneira: i wish my friends knew how to do hair mine only know how to suck dick  ,0.0
Alabama,Delivery Patient Consultant   Gainesville: Purpose of this position The purpose of this position is to deliver Trul  https://t.co/xWNWyw0FMg,0.0
None,RT @laurahelmuth: Job announcement: We are hiring a new reporter to expand our science coverage at @WashingtonPost.  https://t.co/Q3SRWEeBG ,0.13636363636363635
"Nairobi, Kenya","RT @PhilRevolt: @Dan_Mgoyah @BenjiNdolo @SenMutula Ruto only buys gullible poor politicians, besides being principled @SenMutula is swimmin ",-0.2
Lo,Boylesports: THE #DARTS MASTERS Double winnings as a free bet if the checkout is 100+ All markets 18+ T&amp;C's apply B  https://t.co/rPhHEF1gwQ,0.2
WorldWide,https://t.co/SjNcxNCuNN High performance FULL RSS generator https://t.co/HkaaWMOja2 #hosting | Blogging idea | The  https://t.co/r6rmjKHW0O,0.255
"Fresno, CA",RT @k3llytweets: having social anxiety but also being an outgoing person is such a hard mix like am I gonna walk up to this group of people ,-0.08611111111111112
"Gorakhpur, India","RT @sanjivbhatt: One can only hope that India produces more young women like @ReallySwara   

https://t.co/jKT9YQ7pJt via @thewire_in",0.19999999999999998
Jakarta Capital Region,"RT @n0thing: Crazy if SK manages to come back.  C9 playing with the same confidence we had when we beat SK in Brazil, except this time they ",-0.19999999999999998
"Essex street, Dublin","@knamjoon_ Dad, i know im a son of lucifer but can i be something cooler",0.0
Australia,@MendesPonch @ShawnMendes This has been my dream for the longest time ever for 5 and a half years actually and it c  https://t.co/9xFWTeTcLt,-0.08333333333333333
United Kingdom,"If you are a Junior #Web #Designer and don't yet have a portfolio - why not try @squarespace

Portfolios allow you  https://t.co/AOnWrefaVN",0.0
"Maharashtra, India",RT @timesofindia: Swara Bhasker on 'Padmaavat':  Felt reduced to a vagina only https://t.co/zMLnI3XcHP via @TOIEntertain https://t.co/LYsaT ,0.0
